Year,Price,WinterRain,AGST,HarvestRain,Age,FrancePop,location
1960,8.4129459,763,16.4167,290,23,46583.995,WineryLafite-Rothschild
1961,10.3878459,830,17.3333,38,22,47128.005,WineryLafite-Rothschild
1962,9.2821459,697,16.3,52,21,48088.673,WineryLafite-Rothschild
1963,8.6068459,608,15.7167,155,20,48798.99,WineryLafite-Rothschild
1964,9.2035459,402,17.2667,96,19,49356.943,WineryLafite-Rothschild
1965,8.145945900000001,602,15.3667,267,18,49801.821,WineryLafite-Rothschild
1966,9.6384459,819,16.5333,86,17,50254.966,WineryLafite-Rothschild
1967,8.7339459,714,16.2333,118,16,50650.406,WineryLafite-Rothschild
1968,8.1376459,610,16.2,292,15,51034.413,WineryLafite-Rothschild
1969,8.2400459,575,16.55,244,14,51470.276,WineryLafite-Rothschild
1970,9.4824459,622,16.6667,89,13,51918.389,WineryLafite-Rothschild
1971,9.0875459,551,16.7667,112,12,52431.647,WineryLafite-Rothschild
1972,8.0990459,536,14.9833,158,11,52894.183,WineryLafite-Rothschild
1973,8.530845900000001,376,17.0667,123,10,53332.805,WineryLafite-Rothschild
1974,8.1882459,574,16.3,184,9,53689.61,WineryLafite-Rothschild
1975,9.1861459,572,16.95,171,8,53955.042,WineryLafite-Rothschild
1976,9.0152459,418,17.65,247,7,54159.049,WineryLafite-Rothschild
1977,8.1528459,821,15.5833,87,6,54378.362,WineryLafite-Rothschild
1978,9.0801459,763,15.8167,51,5,54602.193,WineryLafite-Rothschild
1979,8.8482459,717,16.1667,122,4,54835.832,WineryLafite-Rothschild
1980,8.3920459,578,16.0,74,3,55110.236,WineryLafite-Rothschild
1952,7.495,600,17.1167,160,31,43183.569,Loire Valley
1953,8.0393,690,16.7333,80,30,43495.03,Loire Valley
1955,7.6858,502,17.15,130,28,44217.857,Loire Valley
1957,6.9845,420,16.1333,110,26,45152.252,Loire Valley
1958,6.7772,582,16.4167,187,25,45653.805,Loire Valley
1959,8.0757,485,17.4833,187,24,46128.638,Loire Valley
1960,6.5188,763,16.4167,290,23,46583.995,Loire Valley
1961,8.4937,830,17.3333,38,22,47128.005,Loire Valley
1962,7.388,697,16.3,52,21,48088.673,Loire Valley
1963,6.7127,608,15.7167,155,20,48798.99,Loire Valley
1964,7.3094,402,17.2667,96,19,49356.943,Loire Valley
1965,6.2518,602,15.3667,267,18,49801.821,Loire Valley
1966,7.7443,819,16.5333,86,17,50254.966,Loire Valley
1967,6.8398,714,16.2333,118,16,50650.406,Loire Valley
1968,6.2435,610,16.2,292,15,51034.413,Loire Valley
1969,6.3459,575,16.55,244,14,51470.276,Loire Valley
1970,7.5883,622,16.6667,89,13,51918.389,Loire Valley
1971,7.1934,551,16.7667,112,12,52431.647,Loire Valley
1972,6.2049,536,14.9833,158,11,52894.183,Loire Valley
1973,6.6367,376,17.0667,123,10,53332.805,Loire Valley
1974,6.2941,574,16.3,184,9,53689.61,Loire Valley
1975,7.292,572,16.95,171,8,53955.042,Loire Valley
1976,7.1211,418,17.65,247,7,54159.049,Loire Valley
1977,6.2587,821,15.5833,87,6,54378.362,Loire Valley
1978,7.186,763,15.8167,51,5,54602.193,Loire Valley
1979,6.9541,717,16.1667,122,4,54835.832,Loire Valley
1980,6.4979,578,16.0,74,3,55110.236,Loire Valley
